T E X A S  E D U C A T I O N  A G E N C Y,,,,,,,
,,,,,,,
PEIMS Student Enrollment Data for 2023-2024,,,,,,,
,,,,,,,
YEAR,REGION,COUNTY NAME,DISTRICT,DISTRICT NAME,CHARTER STATUS,GRADE,ENROLLMENT
2023-2024,10,DALLAS COUNTY,57816,A W BROWN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Pre-kindergarten,184
2023-2024,10,DALLAS COUNTY,57816,A W BROWN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Kindergarten,91
2023-2024,10,DALLAS COUNTY,57816,A W BROWN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Grade 1,81
2023-2024,10,DALLAS COUNTY,57816,A W BROWN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Grade 2,74
2023-2024,10,DALLAS COUNTY,57816,A W BROWN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Grade 3,93
2023-2024,10,DALLAS COUNTY,57816,A W BROWN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Grade 4,61
2023-2024,10,DALLAS COUNTY,57816,A W BROWN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Grade 5,64
2023-2024,10,DALLAS COUNTY,57816,A W BROWN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Grade 6,48
2023-2024,10,DALLAS COUNTY,57816,A W BROWN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Grade 7,47
2023-2024,10,DALLAS COUNTY,57816,A W BROWN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Grade 8,35
2023-2024,10,DALLAS COUNTY,57829,A+ ACADEMY,OPEN ENROLLMENT CHARTER,Pre-kindergarten,150
2023-2024,10,DALLAS COUNTY,57829,A+ ACADEMY,OPEN ENROLLMENT CHARTER,Kindergarten,109
2023-2024,10,DALLAS COUNTY,57829,A+ ACADEMY,OPEN ENROLLMENT CHARTER,Grade 1,95
