DISTNAME,Max of VALUE
PROSPER ISD,30134
COMAL ISD,30663
KILLEEN ISD,30720
NORTHSIDE ISD,30918
GRAND PRAIRIE ISD,30973
ALDINE ISD,31103
MIDLAND ISD,31170
ALVIN ISD,31396
NORTHWEST ISD,32773
AMARILLO ISD,34452
PHARR-SAN JUAN-ALAMO ISD,34918
CYPRESS-FAIRBANKS ISD,35162
DENTON ISD,35649
IRVING ISD,35918
KIPP TEXAS PUBLIC SCHOOLS,36425
ECTOR COUNTY ISD,36504
KELLER ISD,36934
EDINBURG CISD,37045
SPRING BRANCH ISD,37082
MANSFIELD ISD,37834
HOUSTON ISD,38464
LAMAR CISD,38890
YSLETA ISD,39563
CORPUS CHRISTI ISD,39732
SPRING ISD,39779
BROWNSVILLE ISD,39990
